local_time,gpu_index,gpu_name,memory_used_mb,memory_total_mb,gpu_util_percent
2026/06/24 20:10:27.537,0,NVIDIA GeForce RTX 5090,5650,32607,32
2026/06/24 20:10:28.637,0,NVIDIA GeForce RTX 5090,5650,32607,35
2026/06/24 20:10:29.733,0,NVIDIA GeForce RTX 5090,5650,32607,33
2026/06/24 20:10:30.833,0,NVIDIA GeForce RTX 5090,5650,32607,37
2026/06/24 20:10:31.888,0,NVIDIA GeForce RTX 5090,5650,32607,35
2026/06/24 20:10:32.965,0,NVIDIA GeForce RTX 5090,5650,32607,38
2026/06/24 20:10:34.065,0,NVIDIA GeForce RTX 5090,5650,32607,36
2026/06/24 20:10:35.163,0,NVIDIA GeForce RTX 5090,5650,32607,32
2026/06/24 20:10:36.265,0,NVIDIA GeForce RTX 5090,5650,32607,17
2026/06/24 20:10:37.345,0,NVIDIA GeForce RTX 5090,5650,32607,32
2026/06/24 20:10:38.452,0,NVIDIA GeForce RTX 5090,5650,32607,40
2026/06/24 20:10:39.549,0,NVIDIA GeForce RTX 5090,5650,32607,36
2026/06/24 20:10:40.604,0,NVIDIA GeForce RTX 5090,5650,32607,36
2026/06/24 20:10:41.685,0,NVIDIA GeForce RTX 5090,5650,32607,31
2026/06/24 20:10:42.781,0,NVIDIA GeForce RTX 5090,5650,32607,24
2026/06/24 20:10:43.881,0,NVIDIA GeForce RTX 5090,5650,32607,18
2026/06/24 20:10:44.985,0,NVIDIA GeForce RTX 5090,5650,32607,40
2026/06/24 20:10:46.069,0,NVIDIA GeForce RTX 5090,5650,32607,38
2026/06/24 20:10:47.165,0,NVIDIA GeForce RTX 5090,5650,32607,26
2026/06/24 20:10:48.269,0,NVIDIA GeForce RTX 5090,5650,32607,30
2026/06/24 20:10:49.374,0,NVIDIA GeForce RTX 5090,5650,32607,28
2026/06/24 20:10:50.432,0,NVIDIA GeForce RTX 5090,5650,32607,37
2026/06/24 20:10:51.537,0,NVIDIA GeForce RTX 5090,5650,32607,33
